Epoch,Accuracy,Precision_micro,Precision_macro,Precision_w,Recall_micro,Recall_macro,Recall_w,F1_micro,F1_macro,F1_w,AUC_macro
1,0.5419928825622776,0.5419928825622776,0.43226202429081056,0.48794249800638856,0.5419928825622776,0.45659211122414917,0.5419928825622776,0.5419928825622776,0.39159820313682453,0.4611998831471748,0.0
2,0.5352313167259787,0.5352313167259787,0.39675506374901753,0.46878328409935116,0.5352313167259787,0.44688647490820077,0.5352313167259787,0.5352313167259787,0.40447739381915804,0.4812235402315293,0.0
3,0.5430604982206406,0.5430604982206406,0.47604947684666216,0.5428889495791981,0.5430604982206406,0.4602869819898584,0.5430604982206406,0.5430604982206406,0.41813875759984853,0.4919632720479577,0.0
4,0.5590747330960855,0.5590747330960855,0.4799117602433878,0.5336389635214657,0.5590747330960855,0.4726570323801046,0.5590747330960855,0.5590747330960855,0.4437008567631805,0.5206239457974636,0.0
5,0.5690391459074733,0.5690391459074733,0.41096270445990635,0.4860649057509821,0.5690391459074733,0.4777157282741738,0.5690391459074733,0.5690391459074733,0.42398914612722505,0.502663491569941,0.0
6,0.5483985765124555,0.5483985765124555,0.46228243872315666,0.5374912984354806,0.5483985765124555,0.5018917205805211,0.5483985765124555,0.5483985765124555,0.4378042137078437,0.501573188356124,0.0
7,0.5138790035587188,0.5138790035587188,0.3913423014593538,0.44777536192888867,0.5138790035587188,0.45073330127644695,0.5138790035587188,0.5138790035587188,0.3838412155297732,0.44102697781973144,0.0
8,0.5843416370106762,0.5843416370106762,0.5163576151523513,0.5664976248907428,0.5843416370106762,0.4970366422133558,0.5843416370106762,0.5843416370106762,0.45953214596357317,0.5332709625072574,0.0
9,0.603914590747331,0.603914590747331,0.5962417063524784,0.6336654987960609,0.603914590747331,0.5424206989460968,0.603914590747331,0.603914590747331,0.537032999260415,0.5963534898449931,0.0
10,0.606405693950178,0.606405693950178,0.570688916077706,0.6197586758732341,0.606405693950178,0.548945649668569,0.606405693950178,0.606405693950178,0.5356747009510825,0.5951854530558016,0.0
11,0.5861209964412811,0.5861209964412811,0.4955181807091199,0.5601139922773425,0.5861209964412811,0.5199923864894795,0.5861209964412811,0.5861209964412811,0.5017064308423272,0.5684640285538805,0.0
12,0.6202846975088968,0.6202846975088968,0.5876523404632517,0.6253406386240828,0.6202846975088968,0.5440538449718376,0.6202846975088968,0.6202846975088968,0.5351771108722594,0.598135482959075,0.0
