epoch,train_loss,val_loss,learning_rate,accuracy,precision,recall,f1
1,1.564635088091205,1.0408639760930505,0.001,0.6346657830526855,0.6346657830526855,0.6346657830526855,0.6346657830526855
2,1.1219070352124365,0.7908168036499544,0.0009997532801828658,0.7279874687471759,0.7279874687471759,0.7279874687471759,0.7279874687471759
3,0.9836844389996229,0.6942603615395587,0.0009990133642141358,0.7578696870199114,0.7578696870199114,0.7578696870199114,0.7578696870199114
4,0.8848545435731183,0.6048281653356806,0.00099778098230154,0.7884146157785342,0.7884146157785342,0.7884146157785342,0.7884146157785342
5,0.8343445067698461,0.5915685392009259,0.000996057350657239,0.7919089074313944,0.7919089074313944,0.7919089074313944,0.7919089074313944
6,0.769513723002045,0.5452292391516794,0.0009938441702975688,0.8098623369581589,0.8098623369581589,0.8098623369581589,0.8098623369581589
7,0.7124160342244188,0.5078919701760521,0.0009911436253643444,0.8232370394915203,0.8232370394915203,0.8232370394915203,0.8232370394915203
8,0.681202573722963,0.4742632798804976,0.0009879583809693736,0.8367924812483055,0.8367924812483055,0.8367924812483055,0.8367924812483055
9,0.6327902122766995,0.48384308573689544,0.0009842915805643154,0.8324547398861343,0.8324547398861343,0.8324547398861343,0.8324547398861343
10,0.5976281239239751,0.49241770708902444,0.0009801468428384714,0.8340813928969485,0.8340813928969485,0.8340813928969485,0.8340813928969485
11,0.550393936759481,0.49703703594699006,0.0009755282581475767,0.8423652739705395,0.8423652739705395,0.8423652739705395,0.8423652739705395
12,0.5188349378966004,0.4838308213589999,0.0009704403844771127,0.8466126457209989,0.8466126457209989,0.8466126457209989,0.8466126457209989
13,0.4800219437035693,0.6141007798394658,0.0009648882429441257,0.8230563002680965,0.8230563002680965,0.8230563002680965,0.8230563002680965
14,0.47175449926967106,0.5555866927318761,0.0009588773128419905,0.8385998734825436,0.8385998734825436,0.8385998734825436,0.8385998734825436
15,0.44936500161069254,0.5437798851580671,0.0009524135262330098,0.8383588878513119,0.8383588878513119,0.8383588878513119,0.8383588878513119
16,0.4227230739000085,0.5971149449557157,0.0009455032620941839,0.841853179504172,0.841853179504172,0.841853179504172,0.841853179504172
17,0.4040489329174753,0.568808738939783,0.0009381533400219318,0.8396240624152785,0.8396240624152785,0.8396240624152785,0.8396240624152785
18,0.4040323791061826,0.6234090409911023,0.0009303710135019719,0.8385697502786397,0.8385697502786397,0.8385697502786397,0.8385697502786397
19,0.3943621222305025,0.6104589033784696,0.0009221639627510076,0.8422146579510197,0.8422146579510197,0.8422146579510197,0.8422146579510197
20,0.3813959292985815,0.640172501525976,0.000913540287137281,0.8390818447450071,0.8390818447450071,0.8390818447450071,0.8390818447450071
21,0.38114270817649887,0.59082794925242,0.0009045084971874739,0.8429074916408109,0.8429074916408109,0.8429074916408109,0.8429074916408109
22,0.3823489261934261,0.6441806348367646,0.0008950775061878453,0.8414013314456126,0.8414013314456126,0.8414013314456126,0.8414013314456126
23,0.3688551289258033,0.6514963929070067,0.0008852566213878948,0.8394734463957586,0.8394734463957586,0.8394734463957586,0.8394734463957586
24,0.35216384701598846,0.6469737643897076,0.0008750555348152299,0.8391119679489111,0.8391119679489111,0.8391119679489111,0.8391119679489111
25,0.35269583871174087,0.6785281704384746,0.0008644843137107058,0.8363105099858421,0.8363105099858421,0.8363105099858421,0.8363105099858421
26,0.36370912352157075,0.7825145531168227,0.0008535533905932738,0.8385998734825436,0.8385998734825436,0.8385998734825436,0.8385998734825436
27,0.35817020871955757,0.6415963588800294,0.0008422735529643445,0.8380576558122722,0.8380576558122722,0.8380576558122722,0.8380576558122722
28,0.3426512331148114,0.7079782840542849,0.000830655932661826,0.8425460131939633,0.8425460131939633,0.8425460131939633,0.8425460131939633
29,0.3485972846752751,0.7324151634706748,0.000818711994874345,0.836431002801458,0.836431002801458,0.836431002801458,0.836431002801458
30,0.35025097687092943,0.7096547552428734,0.0008064535268264884,0.8405578817363015,0.8405578817363015,0.8405578817363015,0.8405578817363015
31,0.33929992587125596,0.7569519144302213,0.0007938926261462368,0.8356176762960509,0.8356176762960509,0.8356176762960509,0.8356176762960509
32,0.33803710815551696,0.7357946858808758,0.0007810416889260655,0.8415218242612285,0.8415218242612285,0.8415218242612285,0.8415218242612285
33,0.33760721949696965,0.6601650324069467,0.0007679133974894984,0.8385396270747356,0.8385396270747356,0.8385396270747356,0.8385396270747356
34,0.3444228047826813,0.7280185102386734,0.0007545207078751858,0.8404976353284935,0.8404976353284935,0.8404976353284935,0.8404976353284935
35,0.32238511418719,0.7530823185863519,0.0007408768370508578,0.8405578817363015,0.8405578817363015,0.8405578817363015,0.8405578817363015
36,0.33167596574282593,0.710883507578618,0.0007269952498697736,0.8443232822242974,0.8443232822242974,0.8443232822242974,0.8443232822242974
37,0.3215166800708063,0.7491830893422651,0.0007128896457825365,0.8433894629032744,0.8433894629032744,0.8433894629032744,0.8433894629032744
38,0.3227044655025885,0.7256419021964708,0.0006985739453173904,0.8448052534867608,0.8448052534867608,0.8448052534867608,0.8448052534867608
39,0.32644516418384795,0.782008118258437,0.0006840622763423392,0.844684760671145,0.844684760671145,0.844684760671145,0.844684760671145
40,0.32177200332271627,0.7042954941406291,0.0006693689601226459,0.8468235081483266,0.8468235081483266,0.8468235081483266,0.8468235081483266
41,0.32014090730748535,0.6825229114642914,0.0006545084971874739,0.8426966292134831,0.8426966292134831,0.8426966292134831,0.8426966292134831
42,0.3123038898651917,0.8189456235264699,0.0006394955530196148,0.8411302226104769,0.8411302226104769,0.8411302226104769,0.8411302226104769
