epoch,train_loss,val_loss,learning_rate,accuracy,precision,recall,f1
1,1.9519812364923346,1.8688005853439738,0.001,0.32641503750338885,0.32641503750338885,0.32641503750338885,0.32641503750338885
2,2.019172314110482,1.7939814870664972,0.0009997532801828658,0.31548031448624875,0.31548031448624875,0.31548031448624875,0.31548031448624875
3,1.9071650307540384,1.8733753204044061,0.0009990133642141358,0.32695725517366026,0.32695725517366026,0.32695725517366026,0.32695725517366026
4,1.8247802980343755,1.5179504816203993,0.00099778098230154,0.4412748139892159,0.4412748139892159,0.4412748139892159,0.4412748139892159
5,1.4501514174876526,1.0858625191631284,0.000996057350657239,0.592854776033979,0.592854776033979,0.592854776033979,0.592854776033979
6,1.1723183196998752,0.920028944550485,0.0009938441702975688,0.6809651474530831,0.6809651474530831,0.6809651474530831,0.6809651474530831
7,0.9866210616604052,0.8243419172124848,0.0009911436253643444,0.7161791728168208,0.7161791728168208,0.7161791728168208,0.7161791728168208
8,0.8783760431806479,0.6318059589222411,0.0009879583809693736,0.7763352110130434,0.7763352110130434,0.7763352110130434,0.7763352110130434
9,0.8262038100217801,0.7643795855850342,0.0009842915805643154,0.7469952104105793,0.7469952104105793,0.7469952104105793,0.7469952104105793
10,0.776527316152733,0.5756801943694676,0.0009801468428384714,0.8014278398650481,0.8014278398650481,0.8014278398650481,0.8014278398650481
11,0.7416956154343216,0.5875637223462935,0.0009755282581475767,0.8018495647197036,0.8018495647197036,0.8018495647197036,0.8018495647197036
12,0.7262037262202126,0.5304965372077959,0.0009704403844771127,0.8140193390969064,0.8140193390969064,0.8140193390969064,0.8140193390969064
13,0.6996690231826276,0.5835086004175357,0.0009648882429441257,0.8084465463746724,0.8084465463746724,0.8084465463746724,0.8084465463746724
14,0.6905939239750346,0.4230072837147105,0.0009588773128419905,0.8543844323282225,0.8543844323282225,0.8543844323282225,0.8543844323282225
15,0.6524064923902051,0.46455775721157827,0.0009524135262330098,0.8505587854324186,0.8505587854324186,0.8505587854324186,0.8505587854324186
16,0.6528175418849235,0.439090088580349,0.0009455032620941839,0.8444738982438172,0.8444738982438172,0.8444738982438172,0.8444738982438172
17,0.6251244312871107,0.3979873761436388,0.0009381533400219318,0.8709220712715005,0.8709220712715005,0.8709220712715005,0.8709220712715005
18,0.6161971528428584,0.37942302120009486,0.0009303710135019719,0.8762237551585986,0.8762237551585986,0.8762237551585986,0.8762237551585986
19,0.6061861008617782,0.4174914655151951,0.0009221639627510076,0.8551977588336296,0.8551977588336296,0.8551977588336296,0.8551977588336296
20,0.5882924171650756,0.3786329556779804,0.000913540287137281,0.8732716811760098,0.8732716811760098,0.8732716811760098,0.8732716811760098
21,0.5826429333525052,0.43167633886175255,0.0009045084971874739,0.8614935084495587,0.8614935084495587,0.8614935084495587,0.8614935084495587
22,0.5799261716455608,0.5169984280756053,0.0008950775061878453,0.8332981895954453,0.8332981895954453,0.8332981895954453,0.8332981895954453
23,0.5723195355850274,0.8245548427914713,0.0008852566213878948,0.7427177154562159,0.7427177154562159,0.7427177154562159,0.7427177154562159
24,0.5498338414429407,0.5642350522366605,0.0008750555348152299,0.8110672651143176,0.8110672651143176,0.8110672651143176,0.8110672651143176
25,0.549365458767399,0.40620163977855367,0.0008644843137107058,0.8740247612736091,0.8740247612736091,0.8740247612736091,0.8740247612736091
26,0.5353804232766076,0.32301736913984336,0.0008535533905932738,0.8902009217700395,0.8902009217700395,0.8902009217700395,0.8902009217700395
27,0.5360539586030876,0.35835161827327106,0.0008422735529643445,0.8844172666204777,0.8844172666204777,0.8844172666204777,0.8844172666204777
28,0.5229832758980083,0.3288975669768006,0.000830655932661826,0.890622646624695,0.890622646624695,0.890622646624695,0.890622646624695
29,0.5152914055711593,0.31608075331351726,0.000818711994874345,0.8935747206072838,0.8935747206072838,0.8935747206072838,0.8935747206072838
30,0.5023864958324059,0.3001219687481388,0.0008064535268264884,0.8968581498328162,0.8968581498328162,0.8968581498328162,0.8968581498328162
31,0.4987159721929544,0.49542561156292164,0.0007938926261462368,0.8435099557188903,0.8435099557188903,0.8435099557188903,0.8435099557188903
32,0.4913164893779005,0.3565350982278651,0.0007810416889260655,0.887941681477242,0.887941681477242,0.887941681477242,0.887941681477242
33,0.48378794221524873,0.30001809246573036,0.0007679133974894984,0.9032442690604573,0.9032442690604573,0.9032442690604573,0.9032442690604573
34,0.48237738367210076,0.31795983796134486,0.0007545207078751858,0.894357923908787,0.894357923908787,0.894357923908787,0.894357923908787
35,0.4849025383328496,0.34137206419148347,0.0007408768370508578,0.8991475133295177,0.8991475133295177,0.8991475133295177,0.8991475133295177
36,0.46772598002697774,0.2955190514169422,0.0007269952498697736,0.9017079856613549,0.9017079856613549,0.9017079856613549,0.9017079856613549
37,0.4553424966884278,0.3087530343711105,0.0007128896457825365,0.8972196282796638,0.8972196282796638,0.8972196282796638,0.8972196282796638
38,0.46212298907209115,0.30145699844039464,0.0006985739453173904,0.8999608398349248,0.8999608398349248,0.8999608398349248,0.8999608398349248
39,0.44773406017238254,0.3132829084796252,0.0006840622763423392,0.8977618459499352,0.8977618459499352,0.8977618459499352,0.8977618459499352
40,0.45420894212390966,0.2918351986366794,0.0006693689601226459,0.904388950808808,0.904388950808808,0.904388950808808,0.904388950808808
41,0.4548787487792328,0.2923522847680603,0.0006545084971874739,0.9048106756634635,0.9048106756634635,0.9048106756634635,0.9048106756634635
42,0.4244659834524933,0.29511461913429454,0.0006394955530196148,0.9037262403229207,0.9037262403229207,0.9037262403229207,0.9037262403229207
