Epoch,Accuracy,Precision_micro,Precision_macro,Precision_w,Recall_micro,Recall_macro,Recall_w,F1_micro,F1_macro,F1_w,AUC_macro
1,0.48362989323843414,0.48362989323843414,0.361472877504485,0.432342733404978,0.48362989323843414,0.4078717870257038,0.48362989323843414,0.48362989323843414,0.3616828580332716,0.4304305845578433,0.0
2,0.5081850533807829,0.5081850533807829,0.41232272038118933,0.4811286405328905,0.5081850533807829,0.4538878081832488,0.5081850533807829,0.5081850533807829,0.4148649872663377,0.4774409788972242,0.0
3,0.5597864768683274,0.5597864768683274,0.43931587484348333,0.5073062886684131,0.5597864768683274,0.4833510010491345,0.5597864768683274,0.5597864768683274,0.4352141376246427,0.5015915227473327,0.0
4,0.5658362989323843,0.5658362989323843,0.48283840113114396,0.5471164487225065,0.5658362989323843,0.47418692079034797,0.5658362989323843,0.5658362989323843,0.4350783359084478,0.5162308443656831,0.0
5,0.5750889679715302,0.5750889679715302,0.5188722785215456,0.5677277870289644,0.5750889679715302,0.5006374949000408,0.5750889679715302,0.5750889679715302,0.4670385462420308,0.5352490844768825,0.0
6,0.5740213523131673,0.5740213523131673,0.4699890431290118,0.5407291497920123,0.5740213523131673,0.49163205980066443,0.5740213523131673,0.5740213523131673,0.46653763131576453,0.5406363844748149,0.0
7,0.5683274021352314,0.5683274021352314,0.49085917604972246,0.5511438452435522,0.5683274021352314,0.49540352930423304,0.5683274021352314,0.5683274021352314,0.4762503387950769,0.544843080525988,0.0
8,0.5661921708185054,0.5661921708185054,0.5043472791368657,0.5807027550114482,0.5661921708185054,0.5155002662576103,0.5661921708185054,0.5661921708185054,0.4691049528707598,0.5354015975292973,0.0
9,0.5825622775800712,0.5825622775800712,0.5378545385461426,0.5872874000002944,0.5825622775800712,0.509571232521049,0.5825622775800712,0.5825622775800712,0.5062877401144168,0.5710202805197485,0.0
10,0.6249110320284698,0.6249110320284698,0.5975925908350854,0.6343705372774229,0.6249110320284698,0.55559626139874,0.6249110320284698,0.6249110320284698,0.5212506827635475,0.593963926147803,0.0
11,0.59644128113879,0.59644128113879,0.5261502338171282,0.5966066774964932,0.59644128113879,0.534861135396631,0.59644128113879,0.59644128113879,0.47432995937698985,0.5373109297798815,0.0
12,0.5733096085409253,0.5733096085409253,0.47439495446339464,0.5503239109234658,0.5733096085409253,0.5190904222766217,0.5733096085409253,0.5733096085409253,0.46682796222865786,0.5349299883293357,0.0
13,0.6220640569395017,0.6220640569395017,0.6336367155527766,0.6608892334675217,0.6220640569395017,0.5407649177118271,0.6220640569395017,0.6220640569395017,0.5102287667010058,0.5776238938503552,0.0
14,0.5950177935943061,0.5950177935943061,0.5197004969945295,0.5846810692224969,0.5950177935943061,0.5275417832371627,0.5950177935943061,0.5950177935943061,0.5014581514550456,0.5629632355102456,0.0
15,0.5960854092526691,0.5960854092526691,0.6524316547469724,0.6663322912752424,0.5960854092526691,0.5049443773280983,0.5960854092526691,0.5960854092526691,0.4739570048491819,0.5540783790543001,0.0
16,0.5875444839857651,0.5875444839857651,0.6094089794812723,0.6407281719866998,0.5875444839857651,0.49738908582237834,0.5875444839857651,0.5875444839857651,0.46371513398076863,0.5432307584551415,0.0
17,0.6245551601423488,0.6245551601423488,0.6171812432077077,0.6465899604123401,0.6245551601423488,0.559993800569076,0.6245551601423488,0.6245551601423488,0.5229197696414825,0.5858439347614101,0.0
18,0.6476868327402135,0.6476868327402135,0.6281676994032169,0.6697044288224208,0.6476868327402135,0.56937510928484,0.6476868327402135,0.6476868327402135,0.5624501245823786,0.6273962599656984,0.0
19,0.6626334519572954,0.6626334519572954,0.639510895945246,0.6705734779108211,0.6626334519572954,0.5864471730330053,0.6626334519572954,0.6626334519572954,0.5710112208446578,0.6390944107808875,0.0
20,0.6416370106761566,0.6416370106761566,0.7012795939705745,0.7182401998287951,0.6416370106761566,0.577569568079819,0.6416370106761566,0.6416370106761566,0.5318912234950215,0.591712972543863,0.0
21,0.6533807829181495,0.6533807829181495,0.622897640703096,0.6621183074200616,0.6533807829181495,0.5934813579932918,0.6533807829181495,0.6533807829181495,0.5720133175646999,0.633044817106331,0.0
22,0.6765124555160142,0.6765124555160142,0.6422877870817876,0.680591734964149,0.6765124555160142,0.6095541112294478,0.6765124555160142,0.6765124555160142,0.5891754277110666,0.6543079203233023,0.0
23,0.6676156583629893,0.6676156583629893,0.6328777524376086,0.6702607676172471,0.6676156583629893,0.5992823960005722,0.6676156583629893,0.6676156583629893,0.5916363163742056,0.6514933099422358,0.0
