epoch,avg_loss,avg_grad_norm,valid_batches,learning_rate
1,0.6733500978365962,3.938551445163614,1556,5e-06
2,-0.04508754722103668,4.030810279527483,1556,5e-06
3,-0.32431879944160846,4.300699706095963,1556,5e-06
4,-0.44594246974564455,4.222742880773575,1556,5e-06
5,-0.5065318093776396,4.226563431552413,1556,5e-06
6,-0.540075153514628,4.25172794271251,1556,5e-06
7,-0.5734063339225737,4.286232091428994,1556,5e-06
8,-0.5994024596974292,4.224316806941841,1556,5e-06
9,-0.597681737842474,4.226421259343624,1556,5e-06
10,-0.6285607983528189,4.243870418911421,1556,5e-06
11,-0.6383625055761447,4.224331226075369,1556,5e-06
12,-0.650476562237525,4.198779584030719,1556,5e-06
13,-0.6611329761446288,4.144758261165613,1556,5e-06
14,-0.6625072749231039,4.214545701417334,1556,5e-06
15,-0.671146199337008,4.286318098518107,1556,5e-06
16,-0.6789635273132348,4.170955000392576,1556,5e-06
17,-0.6875153909267374,4.195180435882819,1556,5e-06
18,-0.6943514951358724,4.131530551761772,1556,5e-06
19,-0.6985575732198044,4.167486961614963,1556,5e-06
20,-0.6998658619801919,4.256942446719481,1556,5e-06
21,-0.6998273041530256,4.241159611771836,1556,5e-06
22,-0.722577960065214,3.879079840866643,1556,5e-06
23,-0.7189782671343085,4.005621372226501,1556,5e-06
24,-0.7116885121270133,4.15255911781388,1556,5e-06
25,-0.720260583860249,3.999916632609456,1556,5e-06
26,-0.7233874367449461,3.9912033055197917,1556,5e-06
27,-0.7300947069317332,3.8612653810942694,1556,5e-06
28,-0.7267677924550284,4.0315736801983615,1556,5e-06
29,-0.729557259625978,4.019828818786343,1556,5e-06
30,-0.7269908428230445,4.059403880616617,1556,5e-06
31,-0.7360227474018664,3.974685017689871,1556,5e-06
32,-0.735513428681001,3.9702072259239793,1556,5e-06
33,-0.7313464199094662,4.217048757180456,1556,5e-06
34,-0.744094955526618,3.7831610029797935,1556,5e-06
35,-0.7421848383614827,3.9114056655940788,1556,5e-06
36,-0.7387996954331055,3.9853897646912264,1556,5e-06
37,-0.7430182813180749,3.942531310050607,1556,5e-06
38,-0.739815931566117,4.025798287683174,1556,5e-06
39,-0.7424666262914099,3.932648392178712,1556,5e-06
40,-0.7473513886409124,3.9967956108575002,1556,5e-06
41,-0.743203056808609,3.998509987020401,1556,5e-06
42,-0.751919383599703,3.7593488429498243,1556,5e-06
43,-0.7453769020027551,3.9829307470978224,1556,5e-06
44,-0.7453835694104969,3.997778541880126,1556,5e-06
45,-0.7482077183063048,3.950980773631359,1556,5e-06
46,-0.7513126261091784,3.8942212958300635,1556,5e-06
47,-0.750439096596523,3.860810581910733,1556,5e-06
48,-0.754881810847009,3.7875313513689606,1556,5e-06
49,-0.7582331160921364,3.6720264181877775,1556,5e-06
50,-0.7600429516984748,3.6318863905429994,1556,5e-06
51,-0.756983794865694,3.892265935090866,1556,5e-06
52,-0.7593784510782874,3.7837565348107742,1556,5e-06
53,-0.7597341805236811,3.7728085101780824,1556,5e-06
54,-0.7568162217123343,3.8903271899125262,1556,5e-06
55,-0.7572471923877158,3.940675894157592,1556,5e-06
56,-0.7561431699133164,3.8857883031463256,1556,5e-06
57,-0.7583091082218987,3.839346475516156,1556,5.000000000000001e-07
58,-0.7599747514586829,3.8321091798361593,1556,5.000000000000001e-07
59,-0.7622844172129288,3.8094229011252945,1556,5.000000000000001e-07
60,-0.7603436578591869,3.754956563661751,1556,5.000000000000001e-07
61,-0.7585225403691932,3.8993488648250354,1556,5.000000000000001e-07
62,-0.7578770483635692,3.941928536446818,1556,5.000000000000001e-07
63,-0.7556901529507956,3.9664877881427656,1556,5.000000000000001e-07
64,-0.756794496681206,3.952569290746607,1556,5.000000000000001e-07
65,-0.7638373634081267,3.845709440008687,1556,5.000000000000001e-07
66,-0.7597416942522581,3.960825678420787,1556,5.000000000000001e-07
67,-0.7685538981981327,3.691807513687865,1556,5.000000000000001e-07
68,-0.7586790629899594,3.9193205564524645,1556,5.000000000000001e-07
69,-0.7615460446607177,3.9243174651805264,1556,5.000000000000001e-07
70,-0.7588941203789417,3.945847996642243,1556,5.000000000000001e-07
71,-0.7617486702484153,3.8163942222442757,1556,5.000000000000001e-07
72,-0.7558658964031766,4.014442413365397,1556,5.000000000000001e-07
73,-0.7550367162321098,4.044120513745476,1556,5.000000000000001e-07
74,-0.7529078958733223,4.009727182015202,1556,5.000000000000001e-08
75,-0.7558101650260408,4.055272573964301,1556,5.000000000000001e-08
76,-0.7631931175839318,3.828675656533946,1556,5.000000000000001e-08
77,-0.7639085312773759,3.8676402890590285,1556,5.000000000000001e-08
78,-0.7564987059309121,4.079213006876811,1556,5.000000000000001e-08
79,-0.7605233440668846,3.92287556116486,1556,5.000000000000001e-08
80,-0.7648898966821116,3.787325392326383,1556,5.000000000000002e-09
81,-0.7665937723721208,3.709679283508145,1556,5.000000000000002e-09
82,-0.760002726358589,3.9607859676785213,1556,5.000000000000002e-09
83,-0.7653329954662176,3.6789882811490244,1556,5.000000000000002e-09
84,-0.7670276602849863,3.698035987347824,1556,5.000000000000002e-09
85,-0.7577964560078472,3.9567517241544468,1556,5.000000000000002e-09
86,-0.7626439029767458,3.794184882279993,1556,5.000000000000002e-09
87,-0.7703343601107291,3.5798653822133657,1556,5.000000000000002e-09
88,-0.7591758257204279,3.968130629749102,1556,5.000000000000002e-09
89,-0.762729608614218,3.8030364051997507,1556,5.000000000000002e-09
90,-0.7585260285050213,3.939234594510423,1556,5.000000000000002e-09
91,-0.7669859247373125,3.6955846047799814,1556,5.000000000000002e-09
92,-0.7603685853375567,3.8365746030732413,1556,5.000000000000002e-09
93,-0.7614680485354598,3.8630318213780925,1556,5.000000000000002e-09
94,-0.7649865796487865,3.704163062867438,1556,5.000000000000002e-09
95,-0.7656410757864043,3.7325634209099188,1556,5.000000000000002e-09
96,-0.7605713711989263,3.8926862574596637,1556,5.000000000000002e-09
97,-0.7634451757245014,3.7638915882357287,1556,5.000000000000002e-09
98,-0.7653801992612204,3.7178556123283957,1556,5.000000000000002e-09
99,-0.7670617944592069,3.699838546514128,1556,5.000000000000002e-09
100,-0.7629207531062068,3.8389920126407344,1556,5.000000000000002e-09
